NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de mestrado","Melhoria da Atratividade Facial em Vídeos","2016","Brasil","Português","","","",0
"Exame de qualificação de mestrado","Pré-Processamento e Análise de Espectroscopia Multi-Voxel por Ressonância Magnética","2016","Brasil","Português","","","",1
"Exame de qualificação de mestrado","Avatar Sinalizador da Língua de Sinais Brasileira Explorando Técnicas de Captura de Movimento","2016","Brasil","Português","","","",2
"Exame de qualificação de mestrado","Evaluation of user?s response to short length videos by real-time facial expression recognition","2016","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Ágora Virtual: uma plataforma virtual dedicada à Democracia Deliberativa","2016","Brasil","Português","","","",4
"Exame de qualificação de mestrado","Segmentação dos pulmões e de suas lesões em imagens de tomografia computadorizada","2016","Brasil","Português","","","",5
"Exame de qualificação de mestrado","Desenvolvimento de Suporte Tecnológico para Apoio de Interações Intermodais Proporcionando Vivência Musical aos Surdos","2016","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Human Prosthetic Interaction: a Comparison of Hybrid Technics for the Actuation of Multimodal Upper Limbs Prostheses","2017","Brasil","Português","","","",7
"Exame de qualificação de mestrado","Avatares Expressivos Aplicado ao Ensino de Alunos Surdos: Estudo Caso","2017","Brasil","Português","","","",8
"Exame de qualificação de mestrado","Exploration of Hybrid Neural Networks for Facial Expression Recognition on Videos","2017","Brasil","Português","","","",9
"Exame de qualificação de mestrado","Ferramenta de Visualização Interativa da Max-Tree para Processamento e Análise de Imagens","2016","Brasil","Português","","","",10
