DESCRICAO-SITUACAO-PATENTE,DATA-SITUACAO-PATENTE,STATUS-SITUACAO-PATENTE,DETALHAMENTO-DA-PATENTE_Id
"Depósito","13052009","SIM",0
"Depósito","20082015","SIM",1
