PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"28",0
1,"29",0
2,"43",0
3,"46",0
4,"47",0
5,"48",0
6,"56",0
7,"62",0
8,"66",0
9,"68",0
10,"27",0
