TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-BANCAS-JULGADORAS_Id
"","Outra","Prêmio de Melhor Iniciação Científica Workshop de Teses e Dissertações (WTD) IC","2017","Brasil","Português","","","","",0
"","Outra","Prêmio de Reconhecimento Docente pela Dedicação ao Ensino de Graduação","2017","Brasil","Português","","","","",1
