CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"33070059","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33070210","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"60034394","","","007940009002","Departamento de Sistemas de Energia Elétrica","OUTROS","","","","MESTRADO_DOUTORADO",0
"60046295","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60288450","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60356073","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60472219","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_DA_SAUDE","","","","MESTRADO",0
"90000000","","","000100000991","Colégio Técnico de Campinas","ENGENHARIAS","Engenharia Elétrica","Eletrônica Industrial, Sistemas e Controles Eletrônicos","","OT",0
"90000001","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","GRADUACAO",0
"90000002","","","131000000007","Politecnico di Torino","ENGENHARIAS","Engenharia Elétrica","Telecomunicações","","MESTRADO",0
"90000003","","","131000000007","Politecnico di Torino","ENGENHARIAS","Engenharia Elétrica","Telecomunicações","Sistemas de Telecomunicações","APERFEICOAMENTO",0
"90000004","","","007900000004","Universidade Estadual de Campinas","OUTROS","Multidisciplinar","","","CURSO_DE_CURTA_DURACAO",0
"90000005","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_HUMANAS","Educação","Ensino-Aprendizagem","","OT",0
