SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Análise do comportamento vocal em três gravações de 'Na batucada da vida' ? uma abordagem desenvolvida a partir da semiótica da canção,2013
COMPLETO,AnaÂ-lise semioÂ-tica do comportamento vocal em duas gravacÂ-oÂ-es de Â-SonhosÂ-,2016
