NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,Web-Maps
Cláudia Bauzer de Medeiros,"MEDEIROS, Cláudia Bauzer de",SIM,Web-Maps
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",NAO,Web-Maps
Cecília Baranauskas,"BARANAUSKAS, Cecília",NAO,Web-Maps
Edmundo Madeira,"MADEIRA, Edmundo",NAO,Web-Maps
Eliane Martins,"MARTINS, Eliane",NAO,Web-Maps
Jansle,JANSLE,NAO,Web-Maps
Rubens,RUBENS,NAO,Web-Maps
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,SAI - Sistemas Avançados de Informação
Cláudia Bauzer de Medeiros,"MEDEIROS, Cláudia Bauzer de",SIM,SAI - Sistemas Avançados de Informação
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",NAO,SAI - Sistemas Avançados de Informação
Cecília Baranauskas,"BARANAUSKAS, Cecília",NAO,SAI - Sistemas Avançados de Informação
Edmundo Madeira,"MADEIRA, Edmundo",NAO,SAI - Sistemas Avançados de Informação
Eliane Martins,"MARTINS, Eliane",NAO,SAI - Sistemas Avançados de Informação
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",SIM,Análise de Imagens de Parasitos Intestinais do Homem
Sumie H Shimizu,"SHIMIZU, Sumie H",NAO,Análise de Imagens de Parasitos Intestinais do Homem
Luiz Cândido S Dias,"DIAS, Luiz Cândido S",NAO,Análise de Imagens de Parasitos Intestinais do Homem
João Paulo Papa,"PAPA, João Paulo",NAO,Análise de Imagens de Parasitos Intestinais do Homem
Jancarlo Ferreira Gomes,J.F. Gomes,NAO,Análise de Imagens de Parasitos Intestinais do Homem
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",SIM,Segmentação e Visualização de Imagens Médicas
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",SIM,Transformada Imagem-Floresta e suas Aplicações em Processamento de Imagens
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",SIM,"Processamento, Visualização e Análise de Imagens Médicas"
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Felipe Guazzi Bergo,"BERGO, F. G.",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Fábio Cappabianco,"CAPPABIANCO, Fábio",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Luiz Fernando Pinto,"PINTO, Luiz Fernando",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Iscia Cendes,"CENDES, Iscia",SIM,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Roberto Covolan,"COVOLAN, Roberto",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Roberto Lotufo,"LOTUFO, Roberto",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Karina Magalhães,"MAGALHÃES, Karina",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Paulo A V Miranda,"MIRANDA, Paulo A V",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Guilherme Ruppert,Ruppert,NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Fernanda Favretto,"Favretto, F.",NAO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",NAO,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Thomas Levinsohn,"LEVINSOHN, Thomas",NAO,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Paulo Prado,"PRADO, Paulo",NAO,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Cláudia Bauzer Medeiros,"MEDEIROS, Cláudia Bauzer",SIM,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Felipe Guazzi Bergo,"BERGO, F. G.",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Fernando Cendes,"CENDES, F.",SIM,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Fábio Cappabianco,"CAPPABIANCO, Fábio",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Paulo Andre V Miranda,"MIRANDA, Paulo Andre V",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Li Min,"MIN, Li",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Luiz Fernando Pinto,"PINTO, Luiz Fernando",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Roberto Covolan,"COVOLAN, Roberto",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Guilherme Ruppert,Ruppert,NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Fernanda Favretto,"Favretto, F.",NAO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",SIM,"Processamento, Visualização e Análise de Imagens Médicas"
Leonardo Marques da Rocha,"ROCHA, L. M.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Jan Carlo Ferreira Gomes,"GOMES, Jan Carlo Ferreira",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Fábio Cappabianco,"CAPPABIANCO, Fábio",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Luiz Fernando Pinto,"PINTO, Luiz Fernando",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
João Paulo Papa,"PAPA, João Paulo",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Felipe P G Bergo,"BERGO, Felipe P G",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Paulo A V Miranda,"MIRANDA, Paulo A V",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Guilherme Ruppert,Ruppert,NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Fernanda Favretto,"Favretto, F.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Thiago Vallin Spina,T.V. Spina,NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Giovani Chiachia,"Chiachia, G.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Maíra Saboia,"Saboia, M.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Cesar Castelo Fernandez,"Fernandez, C.C.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Jefersson Alex dos Santos,"Santos, J.A.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
André Tavares da Silva,"SILVA, A. T.",NAO,"Processamento, Visualização e Análise de Imagens Médicas"
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,Métodos de Aproximação para Computação Visual
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",NAO,Métodos de Aproximação para Computação Visual
Leonardo Marques da Rocha,"ROCHA, L. M.",NAO,Métodos de Aproximação para Computação Visual
Jorge Stolfi,"STOLFI, J.",SIM,Métodos de Aproximação para Computação Visual
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",NAO,Métodos de Aproximação para Computação Visual
Paulo Andre V Miranda,"MIRANDA, Paulo Andre V",NAO,Métodos de Aproximação para Computação Visual
João Paulo Papa,"PAPA, João Paulo",NAO,Métodos de Aproximação para Computação Visual
Siome Goldenstein,"GOLDENSTEIN, Siome",NAO,Métodos de Aproximação para Computação Visual
Thiago Vallin Spina,T.V. Spina,NAO,Métodos de Aproximação para Computação Visual
Giovani Chiachia,"Chiachia, G.",NAO,Métodos de Aproximação para Computação Visual
Maíra Saboia,"Saboia, M.",NAO,Métodos de Aproximação para Computação Visual
Cesar Castelo Fernandez,"Fernandez, C.C.",NAO,Métodos de Aproximação para Computação Visual
Jefersson Alex dos Santos,"Santos, J.A.",NAO,Métodos de Aproximação para Computação Visual
André Tavares da Silva,"SILVA, A. T.",NAO,Métodos de Aproximação para Computação Visual
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",NAO,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
Cecília Baranauskas,"BARANAUSKAS, Cecília",NAO,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
Cláudia Bauzer,"BAUZER, Cláudia",SIM,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
Thomas Levinsohn,"LEVINSOHN, Thomas",NAO,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
"da Silva Torres, Ricardo","da Silva Torres, Ricardo",NAO,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
