NOME_INSTITUICAO
Universidade Estadual de Campinas
Computerized Medical Imaging and Graphics
Computerized Medical Imaging and Graphics
IEEE Transactions on Pattern Analysis and Machine Intelligence
Computers & Graphics
Medical Image Analysis
The Visual Computer
Journal of Mathematical Imaging and Vision
IEEE Transactions on Image Processing
Computer Vision and Image Understanding
Optical Engineering (Bellingham) (0091-3286)
Pattern Recognition Letters
Multimedia Systems
Pattern Recognition Letters
IEEE Transactions on Medical Imaging (Print)
Pattern Recognition
Cornell University
Computer Methods in Biomechanics and Biomedical Engineering
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Fundação de Amparo à Pesquisa do Estado de São Paulo
Graphical Models (Print)
JIT. Journal of Information Technology (Print)
IEEE Computer Graphics and Applications
IEEE Transactions on Information Technology in Biomedicine
Journal of Electronic Imaging (Print)
Pattern Analysis and Applications (Print)
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
IEEE Signal Processing Letters
California Institute of Technology
