NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Microsoft Corporation,AUXILIO_FINANCEIRO,"WebBios (edital eScience Microsoft Research US$ 46000, 5 docentes)"
NULL,NAO_INFORMADO,"Projeto PRONEX - SAI - R$ 1 milhao, com 20 docentes (UNCAMP, UFMS)"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Web-MAPS - Sistema baseado na Web Semântica para Planejamento Agro-ambiental (Edital UNIVERSAL, R$ 100 mil, 8 docentes)"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"AgroFlow - Workflows Cientificos para Planejamento Agricola (R$ 70,000, 6 docentes)"
Empresa Brasileira de Pesquisa Agropecuária,COOPERACAO,"AgroFlow - Workflows Cientificos para Planejamento Agricola (R$ 70,000, 6 docentes)"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"WebMAPS II - (Universal CNpq, R$ 48.000,00, 8 docentes, em Computação e Eng. Agricola)"
Hewllet Packard Co.,AUXILIO_FINANCEIRO,Producing and publishing component-based digital content building blocks (HP) - US$ 50.000
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"eFARMS - A two-way road into the networked world for small farms (Instituto Virtual FAPESP-Microsoft Research, R$ 193000,00, 6 pesquisadores em Computacao e Ciencias Agrarias.)"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Bio-CORE -Biodiversity and COmputing Research (Edital Grandes Desafio, R$ 508 mil, 12 participantes - Computação e Biologia)"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Gerenciamento na Web de bancos de dados de imagens de satelite para monitoramento agro-ambiental (binacional, Alemanha) R$ 43.000,00, 6 pesquisadores"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"GeoTEC - Geoprocessamento - Metodologias e Técnicas. PROTEM-CC, US$ 1 milhao dolares."
Microsoft Research,BOLSA,"NAVSCALES - Navegando através de Escalas no Espaço e no Tempo e Domínios do Conhecimento. (FAPESP-MICROSOFT - R$ 350.000,00)"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"NAVSCALES - Navegando através de Escalas no Espaço e no Tempo e Domínios do Conhecimento. (FAPESP-MICROSOFT - R$ 350.000,00)"
(FAPESP) Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Computational Science and Engineering - FAPESP CEPID
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,COOPERACAO,AMIB - Algorithms for Managing Images for Biodiversity
Conselho Nacional de Desenvolvimento Científico e Tecnológico,OUTRO,"Modelos e Métodos de eScience para Ciências da Vida e Agrárias (R$ 380.000,00)"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Modelos e Métodos de eScience para Ciências da Vida e Agrárias (R$ 380.000,00)"
