NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",SIM,Sistema de Identificação de Polimorfismos
José A. A. Quitzau,"QUITZAU, J. A. A.",NAO,Sistema de Identificação de Polimorfismos
João Meidanis,"MEIDANIS, J.",NAO,Sistema de Identificação de Polimorfismos
Miguel Galves,"GALVES, M.",NAO,Sistema de Identificação de Polimorfismos
Christian Baudet,"BAUDET, C.",NAO,Sistema de Identificação de Polimorfismos
André Atanasio Maranhão Almeida,"ALMEIDA, A. A. M.",NAO,Sistema de Identificação de Polimorfismos
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,Técnicas Avançadas de Engenharia de Software em Bioinformática
Guilherme P. Telles,"TELLES, G. P.",NAO,Técnicas Avançadas de Engenharia de Software em Bioinformática
João Meidanis,"MEIDANIS, J.",NAO,Técnicas Avançadas de Engenharia de Software em Bioinformática
Cecília Mary Fischer Rubira,"RUBIRA, C. M. F.",SIM,Técnicas Avançadas de Engenharia de Software em Bioinformática
Paulo Asterio de Castro Guerra,"GUERRA, P. A. C.",NAO,Técnicas Avançadas de Engenharia de Software em Bioinformática
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",SIM,Convênio AsGa / Unicamp
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,Sistema Integrador de Dados de Expressão Gênica
Felipe R. da Silva,"SILVA, F. R.",SIM,Sistema Integrador de Dados de Expressão Gênica
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,Algoritmos em Otimização Combinatória
Orlando Lee,"LEE, O.",SIM,Algoritmos em Otimização Combinatória
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Cid Carvalho de Souza,"SOUZA, C. C.",SIM,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Orlando Lee,"LEE, O.",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Arnaldo Vieira Moura,"MOURA, A. V.",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Celia Picinin de Mello,"MELLO, C. P.",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Flávio Keidi Miyazawa,"MIYAZAWA, F. K.",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Pedro Jussieu de Rezende,"REZENDE, P. J.",NAO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,Algoritmos Combinatórios
Flávio Keidi Miyazawa,"MIYAZAWA, F. K.",SIM,Algoritmos Combinatórios
Pedro Jussieu de Rezende,"REZENDE, P. J.",NAO,Algoritmos Combinatórios
Eduardo Candido Xavier,"Xavier, E. C.",NAO,Algoritmos Combinatórios
Luis Augusto Angelotti Meira,"Meira, L. A. A.",NAO,Algoritmos Combinatórios
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Guilherme P. Telles,"TELLES, G. P.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Cid Carvalho de Souza,"SOUZA, C. C.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Orlando Lee,"LEE, O.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Arnaldo Vieira Moura,"MOURA, A. V.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Celia Picinin de Mello,"MELLO, C. P.",SIM,"Algoritmos, Grafos e Otimização Combinatória"
Flávio Keidi Miyazawa,"MIYAZAWA, F. K.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Pedro Jussieu de Rezende,"REZENDE, P. J.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Eduardo Candido Xavier,"Xavier, E. C.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Christiane Neme Campos,"Campos, C. N.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Anderson de Rezende Rocha,"Rocha, A. de R.",SIM,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Siome Goldenstein,"Goldenstein, S.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Alessandro Piva,"PIVA, A.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Stefano Tubaro,"TUBARO, S.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Mauro Barni,"BARNI, M.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Marco Tagliasacchi,"TAGLIASACCHI, M.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Alessia De Rosa,"ROSA, A.",NAO,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND)
Zanoni Dias,"DIAS, Z.;Dias, Z.;Dias, Zanoni",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Guilherme P. Telles,"TELLES, G. P.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Cid Carvalho de Souza,"SOUZA, C. C.",SIM,"Algoritmos, Grafos e Otimização Combinatória"
Orlando Lee,"LEE, O.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Celia Picinin de Mello,"MELLO, C. P.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Flávio Keidi Miyazawa,"MIYAZAWA, F. K.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
Pedro Jussieu de Rezende,"REZENDE, P. J.",NAO,"Algoritmos, Grafos e Otimização Combinatória"
