NOME_INSTITUICAO
Universidade Estadual de Campinas
Journal of Universal Computer Science (Online)
Journal of Software Engineering Research and Development (JSERD)
"Software Testing, Verification and Reliability"
Journal of Software Engineering Research and Development (JSERD)
Science of Computer Programming (Print)
Journal of Universal Computer Science (Online)
"Software, Practice & Experience (Print)"
The Journal of Systems and Software
Journal of the Brazilian Computer Society (Impresso)
The Journal of Systems and Software
Science of Computer Programming (Print)
"Software, Practice & Experience (Print)"
The Journal of Systems and Software
Journal of Universal Computer Science (Online)
Journal of Universal Computer Science (Online)
IEEE Transactions on Software Engineering
Journal of the Brazilian Computer Society (Impresso)
"Software, Practice & Experience (Print)"
Journal of Universal Computer Science (Online)
The Journal of Systems and Software
Pontífice Universidade Católica do Rio de Janeiro
Universidade de Coimbra
Fundação de Amparo à Pesquisa do Estado de São Paulo
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
IET Software (Online)
Universidade Estadual Paulista Júlio de Mesquita Filho
Universidade Federal de Minas Gerais
