NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
"Primeiro Lugar em Mestrado Acadêmico no Concurso de Teses e Dissertações (CTD), aluno Alessandro F. Garcia, intitulada ''Tratamento de Exceções em Sistemas Orientados a Objetos Concorrentes´´.",Sociedade brasileira de Computação (SBC),2001
Melhor artigo técnico do IV Workshop de Manutenção de Software Moderna (WMSWM 2007),IV Workshop de Manutenção de Software Moderna (WMSWM 2007),2007
