NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Financiadora de Estudos e Projetos,AUXILIO_FINANCEIRO,"Sistemas Avançados de Informação (PRONEX/SAI), no. 7697102200, Convênio Pronex Finep, coordenador Tomasz Kowaltowski."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
National Science Foundation,COOPERACAO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
NULL,NAO_INFORMADO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Projeto e-labora, TIDIA/Aprendizado Eletrônico (Ae), FAPESP, no. 03/08114-3, coordenadora: Profa. Heloísa Rocha."
Centro de Estudos e Sistemas Avançados do Recife,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Centro de Tecnologia da Informação Renato Archer,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Empresa Ci T,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Universidade Estadual de Campinas,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Universidade Federal da Paraíba,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Universidade Federal de Pernambuco,COOPERACAO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Financiadora de Estudos e Projetos,AUXILIO_FINANCEIRO,"Projeto CompGov - Biblioteca Compartilhada de Componentes para E-Gov, FINEP, no. 1843/04."
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Um Método de desenvolvimento e testes para Sistemas Baseados em Componentes com Tratamento de Exceções, FAPESP, no. 2004/10663-8."
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,COOPERACAO,"Benchmarking da Confiança no Funcionamento de Componentes de Software, projeto CAPES/GRICES, no.125/05"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Construção e Evolução de Linhas de Produto de Software baseada em Componentes, financiado pelo CNPq, processo 484138/2006-5, Edital MCT/CNPq 02/2006-Universal."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Um ambiente integrado de desenvolvimento para a construcao de arquiteturas de software baseadas em componentes, Processo 305723/2003-0, CNPq, PQ - Produtividade em Pesquisa."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Uma Abordagem Arquitetural para o Desenvolvimento do Comportamento Excepcional de Sistemas Confiáveis Baseados em Componentes, Processo no. 301446/2006-7, CNPq, PQ - Produtividade em Pesquisa."
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,"Tratamento de Exceções no Desenvolvimento de Sistemas Tolerantes a Falhas, processo no. 02/13996-2, Fapesp."
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,"Uma Abordagem Arquitetural para o Desenvolvimento Rigoroso de Sistemas Confiáveis Baseados em Componentes, processo no. 06/02116-2, FAPESP."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"BIO-CORE:Ferramentas, modelos e técnicas para apoio à pesquisa em biodiversidade"
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,COOPERACAO,RobustWeb: Construção e validação de aplicações robustas baseadas em Serviços Web
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Variabilidade de Tratamento de Exceções em Arquiteturas de Linhas de Produtos Baseadas em Componentes
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,MuZoo: Ferramentas e modelos computacionais para busca exploratoria de dados em biodiversidade
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Uma Infraestrutura para Tolerância a Falhas em SOA utlizando Linhas de Produto de Software
Universo Online SA,BOLSA,Um Framework baseado em Linhas de Produtos de Software para Tolerância a Falhas em Sistemas Orientados a Serviços
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,Menon@WS -Metodologias para o Desenvolvimento deWeb Services Não-Vulneravéis
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Variabilidade de Tratamento de Exceções em Linhas de Produtos de Software
Newcastle University,COOPERACAO,Projeto RODIN: Rigorous Open Development Environment  for  Complex Systems
