NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Cecília Mary Fischer Rubira,"RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.",NAO,"Sistemas Avançados de Informação (PRONEX/SAI), no. 7697102200, Convênio Pronex Finep, coordenador Tomasz Kowaltowski."
Tomasz Kowaltowski,"KOWALTOWSKI, T.",SIM,"Sistemas Avançados de Informação (PRONEX/SAI), no. 7697102200, Convênio Pronex Finep, coordenador Tomasz Kowaltowski."
Cláudia Bauzer Medeiros,"MEDEIROS, C. B.",NAO,"Sistemas Avançados de Informação (PRONEX/SAI), no. 7697102200, Convênio Pronex Finep, coordenador Tomasz Kowaltowski."
Cecília Mary Fischer Rubira,"RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.",NAO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
L.E. BUZATO,"BUZATO, L. E.",NAO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
Siang W. Song,"SONG, S. W.",SIM,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
Dilma Menezes,"MENEZES, D.",NAO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
Markus Endler,"ENDLER, M.",NAO,"Projeto ACCORDS: Automatic Configuration and Monitoring of Component-based Distributed Systems, CNPq/NSF Collaborative Research Program, no. 680037/99-3, coordenador: Siang W. Song"
Cecília Mary Fischer Rubira,"RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.",SIM,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Paulo Asterio de Castro Guerra,"GUERRA, Paulo Asterio de Castro",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Fernando José Castor de Lima Filho,"LIMA FILHO, Fernando José Castor de",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Rodrigo Teruo Tomita,"TOMITA, R. T.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Helder Pinho,"PINHO, H.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Tiago Moronte,"MORONTE, T.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Patrick Henrique da Silva Brito,"BRITO, P. H. S.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Camila Ribeiro Rocha,"ROCHA, C. R.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Leonardo Pondian Tizzei,"TIZZEI, L. P.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
Paulo Kato,"KATO, P.",NAO,"Projeto do Ambiente de desenvolvimento integrado BELLATRIX (Component-based integrated development environment) em parceira com a empresa Autbank, São Paulo."
