NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
"INF304-Análise Orientada a Objetos (turmas 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007)",ESPECIALIZACAO,Especialização em Engenharia de Software,Universidade Estadual de Campinas,ANTERIOR,01,1998,12,2007
"INF318-Análise Orientada a Objetos e Projeto Arquitetural (turma 2008, 2009,2010,2011,2012,2013,2014). ",ESPECIALIZACAO,Especialização em Engenharia de Software,Universidade Estadual de Campinas,ANTERIOR,3,2008,5,2014
MC102 Algoritmos e Programação de Computadores,GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC302 Programação Orientada a Objetos, 2012, 2011.",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC336 Paradigmas de Programação, 2009, 2008, 2007, 2005.",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC426 Engenharia de Software, 2001.",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC427 Laboratório de Engenharia de Software, 2006, 2004, 2003, ",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC436 Introdução `a Engenharia de Software, 2009, 2007, 2006, ",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MC976 Tópicos em Engenharia de Software II, 2009, 2008, 2007,",GRADUACAO,Engenharia de Computação,Universidade Estadual de Campinas,ANTERIOR,3,1995,12,2012
"MO409 Engenharia de Software I, 2010.",POS-GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,3,1996,12,2014
"MO620 Engenharia de Software II, 2013, 2012, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2000, 1999, 1997.",POS-GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,3,1996,12,2014
"MO807 Tópicos em Engenharia de Software, 1996.",POS-GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,3,1996,12,2014
"MO901 Seminário de Computação, 2008, 1998.",POS-GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,3,1996,12,2014
MC302 Programação Orientada a Objetos: 2013,GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,1,2013,12,2014
MC426 Engenharia de Software: 2013,GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,1,2013,12,2014
MC436 Introdução `a Engenharia de Software: 2013,GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,1,2013,12,2014
"MC437 Projeto de Sistemas de Informação: 2013, 2014.",GRADUACAO,Ciência da Computação,Universidade Estadual de Campinas,ANTERIOR,1,2013,12,2014
"INF061-Arquitetura de Software, 24 horas, 1S2007.",ESPECIALIZACAO,"INF060-ArquiteturaDeSoftware,Componentização e SOA",Universidade Estadual de Campinas,ANTERIOR,5,2007,6,2008
"INF064-Arquitetura de Software:Conceitos e Avaliação,18 horas, 1S2008.",ESPECIALIZACAO,"INF060-ArquiteturaDeSoftware,Componentização e SOA",Universidade Estadual de Campinas,ANTERIOR,5,2007,6,2008
