NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Controle da Produção Bruta em Poços de Óleo que utilizam &#147;Gás-Lift&#148; Intermitentemente por meio de sensor de Golfadas
Eugenio Spano Rosa,Eugenio Spano Rosa,SIM,Controle da Produção Bruta em Poços de Óleo que utilizam &#147;Gás-Lift&#148; Intermitentemente por meio de sensor de Golfadas
Niederauer Mastelari,Niederauer Mastelari,NAO,Controle da Produção Bruta em Poços de Óleo que utilizam &#147;Gás-Lift&#148; Intermitentemente por meio de sensor de Golfadas
RICARDO AUGUSTO MAZZA,"MAZZA, R. A.",NAO,Controle da Produção Bruta em Poços de Óleo que utilizam &#147;Gás-Lift&#148; Intermitentemente por meio de sensor de Golfadas
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Otimização do potencial de geração de unidades hidrelétricas
Paulo de Barros Correia,"Correia, Paulo de Barros",SIM,Otimização do potencial de geração de unidades hidrelétricas
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Otimização da programação operacional de unidades
Paulo de Barros Correia,"Correia, Paulo de Barros",SIM,Otimização da programação operacional de unidades
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Otimização do Despacho Interligado Nacional - ODIN
S. Soares,"SOARES, S.",SIM,Otimização do Despacho Interligado Nacional - ODIN
Marinho Gomes de Andrade Filho,"ANDRADE FILHO, Marinho Gomes de",NAO,Otimização do Despacho Interligado Nacional - ODIN
"Zambelli, Monica","Zambelli, Monica",NAO,Otimização do Despacho Interligado Nacional - ODIN
"KADOWAKI, M.","KADOWAKI, M.",NAO,Otimização do Despacho Interligado Nacional - ODIN
"SALGADO, R.M.","SALGADO, R.M.",NAO,Otimização do Despacho Interligado Nacional - ODIN
IVETTE RAYMUNDA LUNA HUAMANI,"HUAMANI, I. R. L.",NAO,Otimização do Despacho Interligado Nacional - ODIN
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Planejamento e Programação da Operação de Sistemas de Energia Elétrica
S. Soares,"SOARES, S.",SIM,Planejamento e Programação da Operação de Sistemas de Energia Elétrica
Adriano Alber de França Mendes Carneiro,"CARNEIRO, A. A. F. M.",NAO,Planejamento e Programação da Operação de Sistemas de Energia Elétrica
"KADOWAKI, M.","KADOWAKI, M.",NAO,Planejamento e Programação da Operação de Sistemas de Energia Elétrica
"BALLINI, R.","BALLINI, R.",NAO,Planejamento e Programação da Operação de Sistemas de Energia Elétrica
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,"Previsão de carga horária, diária, semanal e mensal"
S. Soares,"SOARES, S.",SIM,"Previsão de carga horária, diária, semanal e mensal"
"KADOWAKI, M.","KADOWAKI, M.",NAO,"Previsão de carga horária, diária, semanal e mensal"
"BALLINI, R.","BALLINI, R.",NAO,"Previsão de carga horária, diária, semanal e mensal"
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Planejamento e Programação da Operação do Sistema Interligado Nacional
S. Soares,"SOARES, S.",SIM,Planejamento e Programação da Operação do Sistema Interligado Nacional
Makoto Kadowaki,"KADOWAKI, Makoto",NAO,Planejamento e Programação da Operação do Sistema Interligado Nacional
"Luna, Ivette","Luna, Ivette",NAO,Planejamento e Programação da Operação do Sistema Interligado Nacional
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Sistema de Suporte à Decisão para o Despacho Ótimo de Unidades Geradoras das Usinas da CESP
S. Soares,"SOARES, S.",SIM,Sistema de Suporte à Decisão para o Despacho Ótimo de Unidades Geradoras das Usinas da CESP
"Luna, Ivette","Luna, Ivette",NAO,Sistema de Suporte à Decisão para o Despacho Ótimo de Unidades Geradoras das Usinas da CESP
"KADOWAKI, M.","KADOWAKI, M.",NAO,Sistema de Suporte à Decisão para o Despacho Ótimo de Unidades Geradoras das Usinas da CESP
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Técnica para Validação Automática dos Dados de Pós-operação das Usinas da Duke Energy e Aperfeiçoamento dos Modelos de Suporte à Decisão da Operação
S. Soares,"SOARES, S.",SIM,Técnica para Validação Automática dos Dados de Pós-operação das Usinas da Duke Energy e Aperfeiçoamento dos Modelos de Suporte à Decisão da Operação
Makoto Kadowaki,"KADOWAKI, Makoto",NAO,Técnica para Validação Automática dos Dados de Pós-operação das Usinas da Duke Energy e Aperfeiçoamento dos Modelos de Suporte à Decisão da Operação
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",SIM,Otimização do despacho de usinas hidroelétricas do grupo Energias do Brasil
S. Soares,"SOARES, S.",NAO,Otimização do despacho de usinas hidroelétricas do grupo Energias do Brasil
Makoto Kadowaki,"KADOWAKI, Makoto",NAO,Otimização do despacho de usinas hidroelétricas do grupo Energias do Brasil
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",NAO,Despacho de Máquinas
S. Soares,"SOARES, S.",SIM,Despacho de Máquinas
Takaaki Ohishi,"OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki",SIM,"Novas Abordagem Metodológica nos Estudos de Mercado a Curto, Médio e Longo Prazo"
S. Soares,"SOARES, S.",NAO,"Novas Abordagem Metodológica nos Estudos de Mercado a Curto, Médio e Longo Prazo"
"SALGADO, R.M.","SALGADO, R.M.",NAO,"Novas Abordagem Metodológica nos Estudos de Mercado a Curto, Médio e Longo Prazo"
"BALLINI, R.","BALLINI, R.",NAO,"Novas Abordagem Metodológica nos Estudos de Mercado a Curto, Médio e Longo Prazo"
