NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
FR,Francês,BEM,BEM,RAZOAVELMENTE,BEM
EN,Inglês,BEM,RAZOAVELMENTE,RAZOAVELMENTE,RAZOAVELMENTE
DE,Alemão,RAZOAVELMENTE,BEM,RAZOAVELMENTE,BEM
ES,Espanhol,BEM,RAZOAVELMENTE,POUCO,BEM
