NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
Elementos da Linguagem Musical para Bailarinos,GRADUACAO,Bacharealdo Em Dança,Universidade Estadual de Campinas,ANTERIOR,7,1985,12,2002
Elementos de Musica:Ritmica I,GRADUACAO,Bacharealdo Em Dança,Universidade Estadual de Campinas,ANTERIOR,7,1985,12,2002
Elementos de musica:Ritmica II,GRADUACAO,Bacharealdo Em Dança,Universidade Estadual de Campinas,ANTERIOR,7,1985,12,2002
Musica e Dança: Exercícios de Linguagem,GRADUACAO,Bacharealdo Em Dança,Universidade Estadual de Campinas,ANTERIOR,7,1985,12,2002
Composição I,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição II,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição III,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição IV,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição IX,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição V,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição VI,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição VII,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição VIII,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Composição X,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Harmonia do clacissismo ao Romantismo,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Harmonia do Príodo Barroso,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Harmonia do Seculo XX,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Harmonia no Romantismo,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Iniciação à Composição,GRADUACAO,Bacharelado Em Musica,Universidade Estadual de Campinas,ATUAL,3,1998,NULL,NULL
Laboratório Contemporaneo de Musica,POS-GRADUACAO,Artes,Universidade Estadual de Campinas,ANTERIOR,3,1999,6,2004
Seminario Experimental,POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
"Seminários Avançados:leituras em semiótica musical, suas diversas correntes e métodos de análise musical",POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
"Tópicos Especiais em Composição: percepção, construção e análise em música eletroacústica",POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
Tópicos Especiais em Composição:a obra musical de François Bayle,POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
Tópicos Especiais em Fundamentos Teóricos: Brasil Moderno: os movimentos musicais dos anos 20 aos anos 60 em São Paulo e Rio de Janeiro ,POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
Tópicos Especiais em Linguagem e Estruturação Musical : a análise musical em questão,POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
Tópicos Especiais em Fundamentos Teóricos: Brasil Moderno: os movimentos musicais dos anos 20 aos anos 60 em São Paulo e Rio de Janeiro,POS-GRADUACAO,Musica,Universidade Estadual de Campinas,ATUAL,8,2001,NULL,NULL
