SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,O trabalho musical em 'Kelbilim o cão da divindade',2005
COMPLETO,Concert multiphonie: l'espace differencié,1998
COMPLETO,Introdução à Pedra de Rodolfo Caesar: leituras de uma obra,2008
COMPLETO,O trabalho musical em 'Kelbilim o cão da divindade',2009
COMPLETO,"Percepção, análise e construção na música eletroacústica",2005
