TITULO,FLAG_ATIVA,OBJETIVOS
Evolução Dirigida de Enzimas,NAO,Ampliação da termoestabilidade e enantiosseletividade da Lipase I de Galactomyces geotrichum
Genome Mining em Streptomyces,SIM,A proposta desta linha de pesquisas é utilizar diversas metodologias guiadas pelo genoma para identificação e caracterização de metabólitos secundários.
"Clonagem, caracterização e expressão de epóxido hidrolases enantioconvergentes",SIM,Clonagem e expressão dos genes de microrganismos dotados de epóxido-hidrolases. Caracterização da proteína. Evolução Dirigida.
