NOME_INSTITUICAO
Cristália Produtos Químicos e Farmacêuticos
Instituto de Química - UNICAMP
Journal of the Brazilian Chemical Society
Max-Planck-Institut für Kohlenforschung
Instituto de Química - UNICAMP
Universidade Estadual de Campinas
Instituto de Química - UNICAMP
University of Cambridge
Fundação de Amparo à Pesquisa do Estado de São Paulo
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Applied and Environmental Microbiology (Online)
Journal of Visualized Experiments (JoVE)
PIBIC-UNICAMP
Fundo de Apoio ao Ensino Pesquisa e Extensao
