SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Total Synthesis of (+)-Crocacin C,2001
COMPLETO,Total Synthesis of (-)-Pironetin,2003
COMPLETO,TOPS-MODE based QSARs derived from heterogeneous series of compounds. Applications to the design of new anti-inflammatory compounds,2004
COMPLETO,Total Synthesis of (+)-Crocacin D,2005
COMPLETO,Total Synthesis of the Potent Immunosuppressant (-)-Pironetin,2005
COMPLETO,Spirofungins A and B: a reassignment of Kiyota's spiroketals,2006
COMPLETO,Recent results toward the stereoselective synthesis of biologically active natural products,2007
COMPLETO,"Short Synthesis of the 6,6-Spiroketal Cores of Spirofungin A and B",2004
COMPLETO,"1,2-octanediol deracemization by stereoinversion using whole cells",2008
COMPLETO,Whole cell quick E for epoxide hydrolase screening using fluorescent probes,2008
COMPLETO,"Sínteses totais das crocacinas A, C e D: novos antibióticos isolados de Chondromyces crocatus e Chondromyces pediculatus",2008
COMPLETO,Transformações Biológicas: Contribuições e Perspectivas,2009
COMPLETO,"Assessing the absolute configuration of (7S,8R)-(&#8722;)-epoxyjasmone",2009
COMPLETO,An efficient method for mutant library creation in       <i>Pichia pastoris</i>       useful in directed evolution,2010
COMPLETO,Esterase screening using whole cells of Brazilian soil microorganisms,2010
COMPLETO,"Genome Sequence of Streptomyces wadayamensis Strain A23, an Endophytic Actinobacterium from Citrus reticulata",2014
COMPLETO,Searching for monooxygenases and hydrolases in bacteria from an extreme environment,2010
COMPLETO,Site-Specific Modification of the Anticancer and Antituberculosis Polyether Salinomycin by Biosynthetic Engineering,2014
COMPLETO,METABOLIC SCREENING FOR PKS AND NRPS IN ENDOPHYTIC ACTINOBACTERIA FROM,2015
COMPLETO,Nature-Inspired Enzymatic Cascades to Build Valuable Compounds,2015
COMPLETO,A direct protocol for ambient mass spectrometry imaging on agar culturere,2015
COMPLETO,Enzymology of Pyran Ring A Formation in Salinomycin Biosynthesis,2015
COMPLETO,Genome Mining of Endophytic Reveals High Antibiotic Production Capability,2016
COMPLETO,"Genome Sequence of Streptomyces sp. Strain RTd22, an Endophyte of the Mexican Sunflower",2016
COMPLETO,Genome Mining of Endophytic <i>Streptomyces wadayamensis</i> Reveals High Antibiotic Production Capability,2016
COMPLETO,Explorando produtos naturais microbianos nas fronteiras da Química e da Biologia,2013
