NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Professora Homenageada,"Turma de Bacharéis em Ciência da Computação, Unicamp",1986
Professora Homenageada,"Turma de Bacharéis em Ciência da Computação, Unicamp",1987
Paraninfa,"Primeira Turma de Engenharia de Computação, Unicamp",1992
Paraninfa,"Turmas de Bacharelado e Engenharia de Computação, Unicamp",1994
"Travel Support Award at AIED97, Kobe, Japan",AIED97,1997
Best Paper Award of IHC2001,IHC2001,2001
Orientação de Tese de Doutorado vencedora do Concurso do SBIE/SBC em 2004 (orientado Marcos A. F. Borges),XV Simpósio Brasileiro de Informática na Educação,2004
Diploma de Mérito Educacional 'Prof. Darcy Ribeiro',Câmara Municipal de Campinas,2006
Finalista do Prêmio Mário Covas 2007 Tema Design de Hipermídia (com outros),Governo do Estado de São Paulo,2007
Professora Homenageada,"Turma de Bacharéis em Ciência da Computação, Unicamp",2008
"Orientação da melhor Dissertação de Mestrado IC 2008 (Piccolo, L.S.)",Instituto de Computação - UNICAMP,2008
Best Paper in the Area of New Research Issues on the Web,IADIS International Conference Committee WWW/Internet 2009,2009
"Orientação de Iniciação Científica premiada em Concórdia, Argentina (orientado Diego S. Cardoso)",XVII Jornada de Jovens Investigadores,2009
Finalista no Prêmio ARede 2009 na modalidade Setor Público - categoria Estadual (Projeto e-Cidadania),ARede Tecnologia para a Inclusão Social,2009
Rigo Award,ACM SIGDOC,2010
"2. lugar na competição de avaliação categoria pós-graduação (Santana, V., Almeida, L, Hornung, H., Baranauskas, C. Um Processo de Avaliação de Acessibilidade Web Universal: Website da Receita Federal",IHC 2010 - SBC,2010
"1. lugar categoria artigos completos (Neris, V.P.A e Baranauskas, M.C.C. Making Interactive systems more flexible: an approach based on users participation and norms)",IHC 2010 - SBC,2010
"2. lugar categoria artigos completos (Almeida, L.D.A. e Baranauskas, M.C.C. Universal design principles combined with web accessibility guidelines: a case study)",IHC 2010 - SBC,2010
"Orientação da melhor Tese de Doutorado IC 2010 (Miranda, L.C.)",Instituto de Computação - UNICAMP,2010
"Best Paper Award (Pereira, R., Miranda, L.C., Baranauskas, M.C.C.,Piccolo, L.S., Almeida, L.D.A.,Reis, J.C., Interaction Design of Social Software)",i-Society 2011,2011
"Best Student Paper Award (Pereira, R., Buchdid S.B., Baranauskas, M.C.C.)",14th International Conference on Enterprise Information Systems (ICEIS),2012
"Orientação da melhor Dissertação de Mestrado IC 2011 (Reis, J.C.)",Instituto de Computação - UNICAMP,2012
"3.lugar categoria artigos completos no IHC 2012 (Almeida, L.D.A.; Baranauskas, M.C.C.)","IHC'12, Brazilian Symposium on Human Factors in Computing Systems.",2012
"Menção Honrosa para paper 'Affectibility' and Design Workshops: Taking actions towards more sensible design, de E,C.S. Hayashi e M. Cecilia C. Baranauskas",XII Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais (IHC 2013),2013
"Key Pedagogic Thinkers: Maria Cecília Calani Baranauskas, by PEREIRA, R.","Journal of Pedagogic Development, UK, p. 18 - 19, 03 fev. 2013.",2013
Best Paper Award in the Area of Human-Computer Interaction ( at 16th ICEIS),"INSTICC Institute for Systems and Technologies of Information, Control and Communication",2014
Menção Honrosa pelo artigo 'Opressões de identidade de gênero e orientação sexual percebidas em interfaces de usuário de sistemas digitais: um estudo exploratório',IHC 2015,2015
Best Poster Award,HCII (17th International Conference on Human-Computer Interaction),2015
I Prêmio 'Carreira de Destaque em IHC',CEIHC- SBC,2015
Prêmio de Reconhecimento Acadêmico 'Zeferino Vaz' 2016,UNICAMP,2016
