NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,BEM,BEM,BEM
ES,Espanhol,BEM,POUCO,POUCO,RAZOAVELMENTE
FR,Francês,RAZOAVELMENTE,POUCO,POUCO,POUCO
PT,Português,BEM,BEM,BEM,BEM
IT,Italiano,RAZOAVELMENTE,POUCO,POUCO,RAZOAVELMENTE
