TITULO,FLAG_ATIVA,OBJETIVOS
Semiótica Organizacional,SIM,NULL
Engenharia de Requisitos de Software,NAO,NULL
Design e Avaliação de Interface de Usuário,NAO,NULL
Interação Humano-Computador,SIM,NULL
Informática Aplicada à Educação,SIM,NULL
Fatores Humanos em Sistemas Computacionais,NAO,NULL
Ambientes Computacionais Cooperativos para Aprendizagem,NAO,NULL
Ambientes Computacionais para Aprendizagem em Contextos de Trabalho,NAO,NULL
