NIVEL,NOME_INSTITUICAO,ANO_DE_INICIO,ANO_DE_CONCLUSAO,ANO_DE_OBTENCAO_DO_TITULO,FLAG_BOLSA,NOME_AGENCIA,STATUS_DO_ESTAGIO,STATUS_DO_CURSO,TITULO_DO_TRABALHO
5,Staffordshire University,2001,2002,NULL,SIM,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NULL,CONCLUIDO,NULL
5,University of Reading,2002,2002,NULL,SIM,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NULL,CONCLUIDO,NULL
