NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
PhD Honorable Mention,"9th International Conference on Computer Vision, Imaging and Computer Graphics Theory and Applicatio",2014
"Prêmio ""Sadao Omote"" Relevância Científica/Social",Departamento de Educação Especial e Programa de Pós-Graduação em Educação UNESP,2016
