TITULO,FLAG_ATIVA,OBJETIVOS
Linguagens de Programação e Compiladores,NAO,NULL
Arquitetura de Computadores,NAO,NULL
Projeto de Sistemas Dedicados,NAO,NULL
Compilação para Arquiteturas Multicore,NAO,NULL
