NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Universidade Federal de Pernambuco,COOPERACAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,ArchC: Uma Linguagem de Descrição de Arquiteturas
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,ArchC: Uma Linguagem de Descrição de Arquiteturas
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,ArchC: Uma Linguagem de Descrição de Arquiteturas
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Uma Infraestrutura para Pesquisa, Projeto e Simulação de Sistemas Dedicados"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Projeto Casadinho Edital 007/2006 CNPq
Microsoft Brasil Ltda.,AUXILIO_FINANCEIRO,Interoperabilidade Open Source e a Plataforma Microsoft
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,Automação de Projeto de Sistemas Dedicados Usando uma Linguagem de Descrição de Arquiteturas
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,Automação de Projeto de Sistemas Dedicados Usando uma Linguagem de Descrição de Arquiteturas
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,e-Farms: Uma estrada de mão dupla de pequenas fazendas para o mundo em rede
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,e-Farms: Uma estrada de mão dupla de pequenas fazendas para o mundo em rede
Microsoft Corporation,AUXILIO_FINANCEIRO,e-Farms: Uma estrada de mão dupla de pequenas fazendas para o mundo em rede
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Desenvolvimento de Técnicas de Hardware e Software para Otimização de Desempenho em Arquiteturas Modernas de Processadores
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Memórias Transacionais: Desafios no Projeto e na Programação
Microsoft Brasil Ltda.,AUXILIO_FINANCEIRO,Interoperabilidade Open Source e a Plataforma Microsoft - Projeto Interop Router
Microsoft Brasil Ltda.,AUXILIO_FINANCEIRO,Interoperabilidade Open Source e a Plataforma Microsoft - Projeto Vicos
NULL,NAO_INFORMADO,Sistemas Integrados Multiprocessados para Suporte a Realidade Aumentada em Dispositivos Móveis
Microsoft Brasil,AUXILIO_FINANCEIRO,WebLectures 2.0
Samsung Eletrônica da Amazônia,AUXILIO_FINANCEIRO,Modelagem de consumo de energia em dispositivos móveis baseados em processadores ARM
