NOME_INSTITUICAO
Universidade Estadual de Campinas
Instituto Nacional de Pesquisas Espaciais
Universitaire Instelling Antwerpen
University of Texas System
Computacional Mechanics Company
Advances in Engineering Software (1992)
Applied Mathematical Modelling
Journal of Computational and Applied Mathematics
Computer Methods in Applied Mechanics and Engineering
Engineering Fracture Mechanics
International Journal of Solids and Structures
Journal of Petroleum Science & Engineering
Computers & Mathematics with Applications (1987)
Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingenie
Finite Elements in Analysis and Design
Journal of the Brazilian Society of Mechanical Sciences and Engineering
Computational and Applied Mathematics
Computational & Applied Mathematics
Fundação de Amparo a Pesquisa do Estado do Amazonas
Institut National de Recherche en Informatique et en Automatique - Siège
Universite de l'Etat a Liege
