NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Professor Livre-Docente: Área de Resistência de Materiais,Universidade Estadual de Campinas - FEC,1993
PREMIO DE RECONHECIMENTO ACADEMICO ZEFERINO VAZ,Universidade Estadual de Campinas/UNICAMP,1996
Professor Homenageado da turma,Turma de engenharia civil 2003,2003
PREMIO DE RECONHECIMENTO ACADEMICO ZEFERINO VAZ,Universidade Estadual de Campinas - Unicamp,2005
