NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Philippe Remy Bernard Devloo,"DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.",SIM,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Sonia Maria Gomes,"GOMES, S. M.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Jorge Diaz Calle,"CALLE, J. D.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Agnaldo Monteiro Farias,"FARIAS, A. M.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
"LUCCI,P.C.A. (Paulo Cesar de Alvarenga Lucci)",Paulo Cesar de Alvarenga Lucci,NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Denise de Siqueira,"SIQUEIRA, D.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Diogo Cecílio,"CECILIO, D.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Edson Borin,"BORIN, E.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
João Luis Gonçalves,"GONCALVES, J. L.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Felipe Pontes,"PONTES, F.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Omar Duran,"DURAN, O.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Philippe Remy Bernard Devloo,"DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.",SIM,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
José Luiz Antunes de Oliveira e Sousa,"SOUSA, J. L. A. O. E.",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Sonia Maria Gomes,"GOMES, S. M.",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Tiago Forti,"FORTI, T.",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Edimar Cesar Rylo,"RYLO, E. C.",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Denis José Schiozer,"SCHIOZER, Denis José",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Leandro Palermo Junior,"PALERMO JUNIOR, L.",NAO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Philippe Remy Bernard Devloo,"DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.",SIM,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
José Luiz Antunes de Oliveira e Sousa,"SOUSA, J. L. A. O. E.",NAO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
Sonia Maria Gomes,"GOMES, S. M.",NAO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
Gustavo Camargo Longhin,"LONGHIN, G. C.",NAO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
Tiago Luis Duarte Forti,"FORTI, T. L. D.",NAO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
Edimar Cesar Rylo,"RYLO, E. C.",NAO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
