NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Julio Salek Aude Award (Best Paper),16th Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'04),2004
2a. Olimpíada Universitária de Projeto de Hardware,Altera - Pi Componentes,2005
Prêmio George Cox de Melhor Artigo Completo,Simpósio Brasileiro de Segurança de Computadores (SBSEG) 2016,2016
Prêmio de Melhor Artigo,WSCAD-SSC 2012 - Workshop em Sistemas Computacionais de Alto Desempenho,2012
