NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Sandro Rigo,"RIGO, S.;Rigo, Sandro",SIM,ArchC: Uma Linguagem de Descrição de Arquiteturas
Guido Araújo,"ARAÚJO, Guido",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Paulo Cesar Centoducatte,"CENTODUCATTE, Paulo Cesar",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Marcus Bartholomeu,"BARTHOLOMEU, Marcus",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Thiago Massaroli Sigrist,"SIGRIST, Thiago Massaroli",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Marilia Chiozo,"CHIOZO, Marilia",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Bruno Corsi,"CORSI, Bruno",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Alexandro Baldassin,"BALDASSIN, Alexandro",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Bruno de Carvalho Albertini,"ALBERTINI, Bruno de Carvalho",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Luis Felipe Strano Moraes,"MORAES, Luis Felipe Strano",NAO,ArchC: Uma Linguagem de Descrição de Arquiteturas
Sandro Rigo,"RIGO, S.;Rigo, Sandro",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Guido Araújo,"ARAÚJO, Guido",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Rodolfo Jardim de Azevedo,"AZEVEDO, Rodolfo Jardim de",SIM,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Paulo César Centoducatte,"CENTODUCATTE, Paulo César",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Sandro Rigo,"RIGO, S.;Rigo, Sandro",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Guido Araújo,"ARAÚJO, Guido",SIM,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Guilherme Ottoni,"OTTONI, G.",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Rodolfo Jardim de Azevedo,"AZEVEDO, Rodolfo Jardim de",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Marcus Bartholomeu,"BARTHOLOMEU, Marcus",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Paulo César Centoducatte,"CENTODUCATTE, Paulo César",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Ricardo Pannain,"PANNAIN, Ricardo",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Mário Lúcio Cortes,"CORTES, Mário Lúcio",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Nahri Moreano,"MOREANO, Nahri",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Eduardo Wanderley,"WANDERLEY, Eduardo",NAO,Um Compilador Otimizante para Processadores Dedicados e Reconfiguráveis
Sandro Rigo,"RIGO, S.;Rigo, Sandro",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Pablo Viana da Silva,"SILVA, P. V.",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Edna Barros,"BARROS, Edna",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Paulo César Centoducatte,"CENTODUCATTE, Paulo César",SIM,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Manuel Euzebio de Lima,"LIMA, Manuel Euzebio de",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Richard Maciel Costa,"COSTA, Richard Maciel",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Alexandro Baldassin,"BALDASSIN, Alexandro",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
Bruno de Carvalho Albertini,"ALBERTINI, Bruno de Carvalho",NAO,Projetos baseados em Plataformas: Estabelecendo um Ambiente Comum para Pesquisas e Desenvolvendo Novas Metodologias de Projeto
