CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","String Processing and Information Retrieval (SPIRE'2001)","Laguna de San Rafael - Chile","2001","Proceedings of the String Processing and Information Retrieval (SPIRE'2001)","","","","250","253","","IEEE Computer Society","","",0
"NACIONAL","XXIV Seminário Integrado de Software e Hardware (SEMISH'97)","Brasília - DF","1997","Proceedings of XXIV Seminário Integrado de Software e Hardware (SEMISH'97)","","","","119","131","","","","",1
"INTERNACIONAL","4th South American Workshop on String Processing (WSP'97)","Valparaiso - Chile","1997","Proceedings of the 4th South American Workshop on String Processing (WSP'97)","","","","70","79","","Carleton University Press","","",2
"INTERNACIONAL","String Processing and Information Retrieval (SPIRE'2000)","A Coruña - Espanha","2000","Proceedings of the String Processing and Information Retrieval (SPIRE'2000)","","","","","","","","","",3
"INTERNACIONAL","String Processing and Information Retrieval (SPIRE'98)","Santa Cruz - Bolívia","1998","Proceedings of the String Processing and Information Retrieval (SPIRE'98)","","","","","","","","","",4
"NAO_INFORMADO","String Processing and Information Retrieval (SPIRE'2002)","Lisboa - Portugal","2002","Lecture Notes In Computer Science","2476","","","463","468","","Springer-Verlag","Berlin - Alemanha","",5
"INTERNACIONAL","2nd Brazilian Workshop on Bioinformatics (WOB'2003)","Macaé - RJ","2003","Proceedings of 2nd Brazilian Workshop on Bioinformatics (WOB'2003)","","","","","","","","","",6
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2005)","São Leopoldo - RS","2005","Lecture Notes in Bioinformatics","3594","","","170","180","03029743","Springer-Verlag","Berlin - Alemanha","",7
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2005)","São Leopoldo - RS","2005","Lecture Notes in Bioinformatics","3594","","","206","209","03029743","Springer-Verlag","Berlin - Alemanha","",8
"INTERNACIONAL","1st International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2005)","Caxambu - MG","2005","Proceedings of 1st International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2005)","","","","20","20","","","","",9
"INTERNACIONAL","1st International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2005)","Caxambu - MG","2005","Proceedings of 1st International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2005)","","","","","","","","","",10
"INTERNACIONAL","14th Annual International Conference On Intelligent Systems For Molecular Biology (ISMB'2006)","Fortaleza - CE","2006","Proceedings of 14th Annual International Conference On Intelligent Systems For Molecular Biology (ISMB'2006)","","","","","","","","","",11
"NACIONAL","2nd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2006)","Fortaleza - CE","2006","Proceedings of 2nd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2006)","","","","","","","","","",12
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2007)","Angra dos Reis - RJ","2007","Lecture Notes in Bioinformatics","4643","","","57","68","","Springer-Verlag","Berlin - Alemanha","",13
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2007)","Angra dos Reis - RJ","2007","Proceedings of the Brazilian Symposium on Bioinformatics (BSB'2007)","","","","74","85","9788576691235","","","",14
"NACIONAL","3rd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2007)","São Paulo - SP","2007","Proceedings of 3rd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2007)","","","","","","","","","",15
"NACIONAL","3rd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2007)","São Paulo - SP","2007","Proceedings of 3rd International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2007)","","","","","","","","","",16
"NACIONAL","Brazilian Syposium on Bioinformatics (BSB´2008)","Santo André","2008","Lecture Notes on Bioinformatics","5167","","","115","126","","Springer-Verlag","Berlin - Alemanha","",17
"NACIONAL","5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","Angra dos Reis - RJ","2009","Proceedings of 5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","","","","5","5","","","","",18
"NACIONAL","5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","Angra dos Reis - RJ","2009","Proceedings of 5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","","","","9","9","","","","",19
"NACIONAL","5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","Angra dos Reis - RJ","2009","Proceedings of 5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","","","","21","21","","","","",20
"NACIONAL","5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","Angra dos Reis - RJ","2009","Proceedings of 5th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-Meeting'2009)","","","","188","188","","","","",21
"NACIONAL","Brazilian Syposium on Bioinformatics (BSB´2009)","Porto Alegre - RS","2009","Lecture Notes on Bioinformatics","5676","","","13","23","","Springer-Verlag","Berlin - Alemanha","",22
"INTERNACIONAL","International Symposium of Biocomputing (ACM ISB'2010)","Calicut - Índia","2010","Proceedings of the International Symposium of Biocomputing (ACM ISB'2010)","","","","1","5","","","","",23
"INTERNACIONAL","International Symposium of Biocomputing (ACM ISB'2010)","Calicut - Índia","2010","Proceedings of the International Symposium of Biocomputing (ACM ISB'2010)","","","","1","8","","","","",24
"INTERNACIONAL","25th Symposium on Applied Computing - Conference Track on Bioinformatics and Computational Systems Biology (ACM SAC BIO'2010)","Sierre - Suiça","2010","Proceedings of the 25th Symposium on Applied Computing - Conference Track on Bioinformatics and Computational Systems Biology (ACM SAC BIO'2010)","","","","1521","1525","","","","",25
"INTERNACIONAL","6th International Symposium on Bioinformatics Research and Applications (ISBRA'2010)","Storrs - EUA","2010","ISBRA'2010 Short Abstracts Proceedings","","","","102","105","","","","",26
"INTERNACIONAL","ACM International Conference on Bioinformatics and Computational Biology (ACM BCB'2010)","Niagara Falls - EUA","2010","Proceeding of the ACM International Conference on Bioinformatics and Computational Biology (ACM BCB'2010)","","","","334","337","","","","",27
"INTERNACIONAL","8th Annual RECOMB Satellite Workshop on Comparative Genomics (RECOMB CG'2010)","Ottawa - Canadá","2010","Lecture Notes in Computer Science","6398","","","240","251","","Springer-Verlag","Berlin - Alemanha","",28
"INTERNACIONAL","14th International Conference on Research in Computational Biology (RECOMB'2010)","Lisboa - Portugal","2010","Proceedings of the 14th International Conference on Research in Computational Biology (RECOMB'2010)","","","","A11","","","","","",29
"INTERNACIONAL","9th European Conference on Computational Biology (ECCB'2010)","Ghent - Bélgica","2010","Proceedings of the 9th European Conference on Computational Biology (ECCB'2010)","","","","B25","","","","","",30
"INTERNACIONAL","IEEE Workshop on Information Forensics and Security (WIFS'2010)","Seattle - EUA","2010","Proceedings of the IEEE Workshop on Information Forensics and Security (WIFS'2010)","","","","1","6","","","","",31
"INTERNACIONAL","26th Symposium on Applied Computing - Conference Track on Bioinformatics and Computational Systems Biology (ACM SAC BIO'2011)","Taichung, Taiwan","2011","Proceedings of the 26th Symposium on Applied Computing - Conference Track on Bioinformatics and Computational Systems Biology (ACM SAC BIO'2011)","","","","106","107","","","","",32
"INTERNACIONAL","ACM International Conference on Bioinformatics and Computational Biology (ACM BCB'2011)","Chicago - EUA","2011","Proceeding of the ACM International Conference on Bioinformatics and Computational Biology","","","","505","507","","","","",33
"INTERNACIONAL","ACM International Conference on Bioinformatics and Computational Biology (ACM BCB'2011)","Chicago - EUA","2011","Proceeding of the ACM International Conference on Bioinformatics and Computational Biology (ACM BCB'2011)","","","","39","48","","","","",34
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2011)","Brasília - DF","2011","Proceedings of the Brazilian Symposium on Bioinformatics (BSB'2011)","","","","25","32","","","","",35
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2011)","Brasília - DF","2011","Proceedings of the Brazilian Symposium on Bioinformatics (BSB'2011)","","","","33","40","","","","",36
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2011)","Brasília - DF","2011","Proceedings of the Brazilian Symposium on Bioinformatics (BSB'2011)","","","","41","48","","","","",37
"NACIONAL","Brazilian Symposium on Bioinformatics (BSB'2011)","Brasília - DF","2011","Proceedings of the Brazilian Symposium on Bioinformatics (BSB'2011)","","","","57","60","","","","",38
