SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"1","ANTERIOR","5","2002","6","2007","000100000991","Scylla Informática S A","","LIVRE","Diretor Técnico","","",0
"10","ANTERIOR","09","2009","08","2010","007901000997","Instituto de Computação","","LIVRE","Chefe do Departamento de Teoria da Computação","","",1
"12","ANTERIOR","09","2011","08","2012","007901000997","Instituto de Computação","","LIVRE","Chefe do Departamento de Teoria da Computação","","",1
"13","ANTERIOR","09","2012","08","2014","007901000997","Instituto de Computação","","LIVRE","Chefe do Departamento de Teoria da Computação","","",1
"15","ANTERIOR","07","2009","07","2010","007901000997","Instituto de Computação","","LIVRE","Coordenador Substituto do Curso de Engenharia de Computação","","",1
"21","ANTERIOR","09","2008","08","2009","007901000997","Instituto de Computação","","LIVRE","Vice-Chefe do Departamento de Teoria da Computação","","",1
"22","ATUAL","09","2014","","","007901000997","Instituto de Computação","","LIVRE","Vice-Chefe do Departamento de Teoria da Computação","","",1
"24","ATUAL","07","2015","","","007901000997","Instituto de Computação","","LIVRE","Coordenador do Curso de Ciência da Computação","","",1
"16","ANTERIOR","09","2012","06","2015","007901000997","Instituto de Computação","","LIVRE","Coordenador Substituto do Curso de Engenharia de Computação","","",1
