TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Genetics and Molecular Biology (Impresso)","14154757","24","1-4","","9","15","",0
"Journal of Computational Biology","10665277","9","","","743","745","",1
"Revista Tecnologia da Informação","15169197","3","","2","55","59","Brasília",2
"Genetics and Molecular Research","16765680","5","1","","169","181","",3
"Genetics and Molecular Research","16765680","5","1","","143","153","",4
"Bioinformatics (Oxford. Print)","13674803","26","","","1897","1898","",5
"IEEE Transactions on Information Forensics and Security","15566013","7","","2","774","788","",6
"BMC Bioinformatics","14712105","13","","","96","","",7
"Algorithms for Molecular Biology","17487188","7","","1","18","","",8
"Plos One","19326203","8","","","e61928","","",9
"Forensic Science International","03790738","231","","1-3","178","189","",10
"Journal of Bioinformatics and Computational Biology (Print)","02197200","11","","5","1350013","","",11
"Journal of Visual Communication and Image Representation (Print)","10473203","24","","7","1124","1134","",12
"IEEE Multimedia","1070986X","20","","3","58","70","",13
"Journal of Bioinformatics and Computational Biology (Print)","02197200","12","","03","1450012","","",14
"Journal of Universal Computer Science (Print)","0948695X","20","","9","1259","1283","",15
"ACM Journal of Experimental Algorithmics","10846654","19","","","1.1","1.34","",16
"Discrete Applied Mathematics","0166218X","181","","","78","89","",17
"IEEE Transactions on Information Forensics and Security","15566021","9","","10","1533","1546","",18
"Algorithms for Molecular Biology","17487188","10","","1","12","","",19
"Theoretical Computer Science","03043975","593","","","26","41","",20
"BMC Bioinformatics","14712105","16","","Suppl 19","S3","","",21
"IEEE Transactions on Information Forensics and Security","15566021","11","","1","5","18","",22
"IEEE Transactions on Information Forensics and Security","15566021","11","","2","328","343","",23
"International Transactions in Operational Research","09696016","23","","5","921","946","",24
"Plos One","19326203","11","","12","e0167822","","",25
"Journal of Bioinformatics and Computational Biology (Print)","02197200","15","","1","1750002","","",26
"PATTERN ANALYSIS AND APPLICATIONS","14337541","PP","","","1","17","",27
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","15455963","14","","3","620","633","",28
"IEEE/ACM Transactions on Computational Biology and Bioinformatics (Print)","15455963","PP","","99","1","13","",29
