ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"6","",0
2,"22","",0
3,"23","",0
4,"24","",0
5,"64","",0
6,"86","",0
7,"93","",0
8,"96","",0
9,"105","",0
10,"107","",0
11,"109","",0
12,"116","",0
13,"118","",0
14,"126","",0
15,"130","",0
16,"131","",0
17,"139","",0
18,"140","",0
19,"142","",0
20,"147","",0
21,"152","",0
22,"155","",0
23,"156","",0
24,"161","",0
25,"170","",0
26,"174","",0
27,"175","",0
28,"176","",0
29,"168","",0
