CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"33070059","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"51500337","","","024000000008","Universidade de Brasília","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO",0
"60002700","","","006700000002","Universidade de São Paulo","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60019360","","","006700000002","Universidade de São Paulo","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60021179","","","024000000008","Universidade de Brasília","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60041870","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60311479","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60341572","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60356073","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60361522","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"90000001","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","GRADUACAO",0
