SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Teoria da Computação","Bioinformática",0
"2","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Teoria da Computação","Biologia Molecular Computacional",0
"3","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Teoria da Computação","Análise de Algoritmos e Complexidade de Computação",0
