NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Localização de Pornografia em Vídeos","2016","Brasil","Português","","","",0
"Dissertação de mestrado","ACADEMICO","Problemas de Rearranjo de Genomas","2016","Brasil","Português","","","",1
