NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Detecção de Violência em Videos","2016","Brasil","Português","","","",0
"Tese de doutorado","O Problema da Ordenação de Permutações por Reversões e Transposições","2015","Brasil","Português","","","",1
