TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"2",0
1,"4",0
2,"5",0
3,"7",0
4,"8",0
5,"9",0
6,"11",0
7,"14",0
8,"15",0
9,"20",0
10,"21",0
11,"25",0
12,"26",0
13,"39",0
14,"40",0
15,"43",0
16,"44",0
17,"47",0
18,"49",0
19,"50",0
20,"51",0
21,"52",0
22,"53",0
23,"59",0
24,"60",0
25,"61",0
26,"62",0
27,"65",0
28,"66",0
29,"67",0
30,"68",0
31,"69",0
32,"70",0
33,"73",0
34,"74",0
35,"76",0
36,"77",0
37,"78",0
38,"79",0
39,"80",0
40,"81",0
41,"82",0
42,"84",0
43,"85",0
44,"87",0
45,"88",0
46,"92",0
47,"97",0
48,"98",0
49,"99",0
50,"106",0
51,"110",0
52,"117",0
53,"121",0
54,"123",0
55,"124",0
56,"125",0
57,"133",0
58,"134",0
59,"135",0
60,"141",0
61,"143",0
62,"148",0
63,"162",0
64,"171",0
65,"111",0
