PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"16",0
1,"17",0
2,"18",0
3,"42",0
4,"54",0
5,"57",0
6,"95",0
7,"120",0
8,"138",0
9,"167",0
