PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"4","ANTERIOR","07","2004","06","2006","000102000999","Scylla Informática S/A","","",0
1,"3","ANTERIOR","02","2003","01","2004","000102000999","Scylla Informática S/A","","",0
2,"4","ANTERIOR","07","2007","07","2010","007901000997","Instituto de Computação","","",1
3,"5","ANTERIOR","04","2007","05","2009","007901000997","Instituto de Computação","","",1
4,"7","ANTERIOR","11","2007","11","2009","007901000997","Instituto de Computação","","",1
5,"8","ANTERIOR","11","2007","11","2009","007901000997","Instituto de Computação","","",1
6,"9","ATUAL","1","2009","","","007901000997","Instituto de Computação","","",1
7,"11","ATUAL","","2010","","","007901000997","Instituto de Computação","","",1
8,"14","ANTERIOR","","2012","","2014","007901000997","Instituto de Computação","","",1
9,"17","ANTERIOR","","2004","","2005","007901000997","Instituto de Computação","","",1
10,"19","ATUAL","","2013","","","007902000990","Center for Computational Engineering and Sciences","","",1
11,"20","ANTERIOR","","2013","","2016","007901000997","Instituto de Computação","","",1
12,"23","ATUAL","","2015","","","007901000997","Instituto de Computação","","",1
