PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,2,,,,,,,,,,,
"Bioinformática","Projeto EST","","","","",,,,3,,,,,,,,,,,
"Bioinformática","Polimorfismos","","","","",,,,4,,,,,,,,,,,
"Bioinformática","Biologia Molecular Computacional","Rearranjo de Genomas","","","",,,,5,,,,,,,,,,,
"Reconstrução de Filogenia de Imagens","","","","","",,,,6,,,,,,,,,,,
"Bioinformática","Construção de Scaffolds","Montagem de Genomas","","","",,,,7,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,8,,,,,,,,,,,
"Bioinformática","Metagenômica","","","","",,,,9,,,,,,,,,,,
"Reconstrução de Filogenia de Imagens","","","","","",,,,10,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,11,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,12,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,13,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,14,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,15,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,16,,,,,,,,,,,
"Biologia Molecular Computacional","","","","","",,,,17,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,18,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,19,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,20,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,21,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,22,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,23,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,24,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,25,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,26,,,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,27,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,28,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,29,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,,0,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,,,0,,,,,,,,,
"Polimorfismos","","","","","",,,,,,1,,,,,,,,,
"Bioinformática","Projeto EST","","","","",,,,,,2,,,,,,,,,
"Projeto EST","Bioinformática","","","","",,,,,,3,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,,,4,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,,,5,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,6,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","Bioinformática","","","",,,,,,7,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,,,8,,,,,,,,,
"Filogenia de Documentos","","","","","",,,,,,9,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,,,10,,,,,,,,,
"Polimorfismos","","","","","",,,,,,11,,,,,,,,,
"Polimorfismos","Bioinformática","","","","",,,,,,,0,,,,,,,,
"Bioinformática","Projeto EST","","","","",,,,,,,1,,,,,,,,
"Bioinformática","Alinhamento Múltiplo de Sequências","","","","",,,,,,,2,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,3,,,,,,,,
"Alinhamento Múltiplo de Sequências","Bioinformática","","","","",,,,,,,4,,,,,,,,
"Bioinformática","","","","","",,,,,,,5,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,,,,6,,,,,,,,
"Bioinformática","","","","","",,,,,,,7,,,,,,,,
"Rearranjo de Genomas","","","","","",,,,,,,8,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,,,,9,,,,,,,,
"Projeto EST","Bioinformática","Montagem de Genomas","","","",,,,,,,,0,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,,,,,1,,,,,,,
"Alinhamento de Sequências","Biologia Molecular Computacional","","","","",,,,,,,,2,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,3,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,4,,,,,,,
"Filogenia de Documentos","","","","","",,,,,,,,5,,,,,,,
"Bioinformática","","","","","",,,,,,,,,0,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,,1,,,,,,
"Metagenômica","","","","","",,,,,,,,,,0,,,,,
"Rearranjo de Genomas","","","","","",,,,,,,,,,1,,,,,
"Filogenia de Documentos","","","","","",,,,,,,,,,2,,,,,
"Filogenia de Documentos","","","","","",,,,,,,,,,3,,,,,
"Rearranjo de Genomas","","","","","",,,,,,,,,,4,,,,,
"Metagenômica","","","","","",,,,,,,,,,5,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,,,,0,,,,
"Biologia Molecular Computacional","","","","","",,,,,,,,,,,1,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,,,,2,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,,,,,,,,,3,,,,
"Bioinformática","Biologia Molecular Computacional","","","","",,,,,,,,,,,6,,,,
"Rearranjo de Genomas","","","","","",,,,,,,,,,,7,,,,
"Biologia Molecular Computacional","","","","","",,,,,,,,,,,9,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,,,,,0,,,
"Alinhamento de Sequências","Alinhamento Múltiplo de Sequências","Biologia Molecular Computacional","","","",,,,,,,,,,,,2,,,
"Biologia Molecular Computacional","","","","","",,,,,,,,,,,,3,,,
"Bioinformática","","","","","",,,,,,,,,,,,4,,,
"Rearranjo de Genomas","","","","","",,,,,,,,,,,,5,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,,,,,,,,,,,0,,
"Ciência da Computação","","","","","",,,,,,,,,,,,,2,,
"Rearranjo de Genomas","","","","","",,,,,,,,,,,,,3,,
"Aprendizado de Máquina","Detecção de Material Sensível","","","","",,,,,,,,,,,,,,0,
"Rearranjo de Genomas","","","","","",,,,,,,,,,,,,,1,
"Detecção de Material Sensível","Aprendizado de Máquina","","","","",,,,,,,,,,,,,,,0
"Rearranjo de Genomas","","","","","",,,,,,,,,,,,,,,1
