OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"10",0
1,"28",0
2,"29",0
3,"30",0
4,"31",0
5,"32",0
6,"33",0
7,"75",0
8,"136",0
9,"154",0
10,"163",0
11,"27",0
