NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Uma abordagem computacional para determinação de polimorfismos de base única","2006","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Uma abordagem para detecção e remoção de artefatos em seqüências ESTs","2006","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","Alinhamento Múltiplo Progressivo de Sequências de Proteínas","2010","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Programação por Restrições Aplicada a Problemas de Rearranjo de Genoma","2012","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Alinhamento Múltiplo de Proteínas Utilizando Algoritmos Genéticos","2015","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Classificação de Sequências e Análise de Diversidade em Metagenômica","2013","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","O Problema da Ordenação por Reversões Ponderadas","2016","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Avaliação de montadores de novo de RNA-Seq para análise de expressão diferencial de transcritos","2015","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","O Problema da Ordenação de Permutações por Reversões e Transposições","2015","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Uma Ferramenta de Auditoria para Algoritmos de Rearranjo de Genomas","2012","Brasil","Português","","NAO","","Sorting Genomes by Prefix Transpositions Problem",9
