EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"","","13","",0
"","","17","",1
"","","12","",2
"","","13","",3
"","","8","",4
"","","22","",5
"","","13","",6
"","","20","",7
"","","","",8
"","","20","",9
"","","25","",10
"","","13","",11
