TITULO,FLAG_ATIVA,OBJETIVOS
Engenharia de Software,NAO,NULL
Processo de Software,NAO,NULL
Processo de Software,NAO,NULL
Engenharia de Software Experimental,NAO,NULL
Simulação Computacional,NAO,NULL
Engenharia de Software Contínua,NAO,NULL
Simulação Computacional,NAO,NULL
Métodos Ágeis,NAO,NULL
