NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Breno Bernard Nicolau de França,"FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU",NAO,WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet.
Rodrigo Quites Reis,"REIS, Rodrigo Quites",SIM,WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet.
Carla Alessandra Lima reis,"Lima REIS, Carla Alessandra",NAO,WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet.
Adailton Magalhães Lima,"LIMA, Adailton Magalhães",NAO,WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet.
Marcelo Almeida da Silva,"SILVA, Marcelo Almeida da",NAO,WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet.
Breno Bernard Nicolau de França,"FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU",NAO,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Rodrigo Quites Reis,"REIS, Rodrigo Quites",SIM,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Carla Alessandra Lima reis,"Lima REIS, Carla Alessandra",NAO,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Adailton Magalhães Lima,"LIMA, Adailton Magalhães",NAO,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Anderson Jorge Serra da Costa,"COSTA, A. J. S.",NAO,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Ernani de Oliveira Sales,"Sales, Ernani de Oliveira",NAO,Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes
Breno Bernard Nicolau de França,"FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU",NAO,DESAFIOS DO AUMENTO DA MATURIDADE EM ORGANIZAÇÕES DE DESENVOLVIMENTO DE SOFTWARE: INTEGRAÇÃO DE SOLUÇÕES PARA AVANÇOS EM QUALIDADE DE SOFTWARE
