NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
DE,Alemão,POUCO,RAZOAVELMENTE,POUCO,BEM
EN,Inglês,BEM,BEM,BEM,BEM
FR,Francês,BEM,BEM,BEM,BEM
NL,Holandês,BEM,BEM,BEM,BEM
PT,Português,BEM,BEM,BEM,BEM
