TITULO,FLAG_ATIVA,OBJETIVOS
Estudos biossintéticos de produtos naturais microbianos,NAO,NULL
Descoberta de produtos naturais fúngicos,NAO,NULL
Estudos das interações químicas envolvidas em sistemas biológicos (Fitopatógenos - Hospedeiro),NAO,NULL
Biodegradação de materiais poliméricos,NAO,NULL
