NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Best poster- Poster section 1,2nd Brazilian Conference on Natural products,2009
Best poster,4th Brazilian Conference on Natural products,2013
Best Short Presentation,5th Brazilian Conference on Natural Products,2015
"Incentivo de Visibilidade PPGQ-UFSCar, Programa de Pós-Graduação em Química UFSCar.",Universidade Federal de São Carlos,2013
