NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
PT,Português,BEM,BEM,BEM,BEM
ES,Espanhol,BEM,BEM,BEM,BEM
EN,Inglês,BEM,BEM,BEM,BEM
FR,Francês,BEM,POUCO,RAZOAVELMENTE,BEM
