NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
CE392-Estatística Econômica I,GRADUACAO,Economia,Universidade Estadual de Campinas,ANTERIOR,8,1986,12,1986
CE431 - Economia Matemática II,GRADUACAO,Economia,Universidade Estadual de Campinas,ANTERIOR,8,1986,12,1986
CE432-Estatística Econômica e Introdução a Econometria,GRADUACAO,Economia,Universidade Estadual de Campinas,ANTERIOR,8,1986,12,1986
CE631-Econometria I,GRADUACAO,Economia,Universidade Estadual de Campinas,ANTERIOR,8,1986,12,1986
MA116 - Topicos de Matemática para Economia,GRADUACAO,Economia,Universidade Estadual de Campinas,ANTERIOR,8,1986,12,1986
HO300-Seminários de Tese,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ANTERIOR,8,1987,12,1987
HO341 Métodos Quantitativos Aplicados a Economia - disciplina ministrada no 1. semestre desde 2004,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ANTERIOR,8,1987,12,1987
HO341-Métodos Quantitativos Aplicados a Economia Social e do Trabalho,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ANTERIOR,8,1987,12,1987
Estatística Aplicada à Administração,ESPECIALIZACAO,Curso de Espec Em Administração p Graduados,Universidade Estadual de Campinas,ANTERIOR,1,1995,01,1997
CE 531 - Técnicas de Pesquisa em Economia - ministrada nos primeiros semestres,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,02,2004,12,2004
CE 690 - Metodologia de Análise Econômica I - ministrada nos segundos semestres,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,02,2004,12,2004
CE 795 - Metodologia e Análise Econômica II - ministrada nos segundos semestres,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,08,2006,12,2006
"Disciplina Quantitative Methods ministrado em inglês na UNICAMP,através da parceria internacional The Global Labour University , que engloba os seguintes países: Índia, Alemanha, África do Sul e Brasil, na disciplina Social Economy and Labour.",POS-GRADUACAO,Social Economy and Labour,Universidade Estadual de Campinas,ANTERIOR,03,2003,07,2003
"Orientação de alunos para o Programa de Estágio Docente - PED, nas seguintes disciplinas:Metodologia de Análise Econômica I ;Técnicas de Pesquisa em Economia; Metodologia de Análise Econômica II.",POS-GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2004,12,2008
"Orientação no Programa de Apoio ao Ensino de Graduação - PAD, nas seguintes disciplinas: 690 Metodologia de Análise Econômica I; Técnicas de Pesquisa em Economia; ? Metodologia de Análise Econômica II.",POS-GRADUACAO,Ciência Econômica,Universidade Estadual de Campinas,ANTERIOR,03,2003,03,2008
"Coordenadora do Programa de Mestrado ?Social Economy and Labour? da Global Labour University (GLU), no Brasil e membro do Steering Committee da GLU em conjunto com outras universidades (Alemanha (Kassel/Berlin)",POS-GRADUACAO, Social Economy and Labour,Universidade Estadual de Campinas,ATUAL,NULL,2010,NULL,NULL
"University of Kassel and the Berlin School of Economics and Law, na África do Sul (Johannesburg) University of Witwatersrand (WITS) e na Índia (Mumbai) Tata Institute of Social Sciences (TISS), desde agosto de 2010.",POS-GRADUACAO, Social Economy and Labour,Universidade Estadual de Campinas,ATUAL,NULL,2010,NULL,NULL
CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2011,12,2011
CE-795 - Metodologia de Análise Econômica II (2o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2011,12,2011
CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2007,12,2007
CE-690 - Metodologia de Análise Econômica I (2o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2007,12,2007
CE-795 - Metodologia de Análise Econômica II (2o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2007,12,2007
CE 323 - Estatística Econômica e Introdução à Econometria,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,03,2012,NULL,NULL
CE-531 - Técnicas de Pesquisa em Economia (1o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2008,12,2008
CE-795 - Medotologia de Análise Econômica II (2o. Semestre),GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2008,12,2008
