NOME_INSTITUICAO
Universidade Estadual de Campinas
Organizacão Internacional do Trabalho
Revista Bahia Análise e Dados
Revista Brasileira de Estudos da População
Revista Brasileira de Estudos de População (Impresso)
Revista de Estudos Feministas
Economia - Revista da ANPEC
Revista de Economia Contemporânea (Impresso)
Agência para Formação Profissional da Unicamp
Economia e Sociedade (UNICAMP. Impresso)
Nova Economia (UFMG. Impresso)
Cadernos Pagu (UNICAMP. Impresso)
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Programa Institucional de Bolsas de Iniciação Científica - CNPq
Revista Brasileira de Estudos de População (Impresso)
Instituto de Economia - UNICAMP
