NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Análise das operações de Cross Hedhe do bezerro no mercado futuro de boi gordo da BM&F","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",0
"Congresso","The coffee agribusiness system in Brazil after market deregulation and the role of private organizations","1999","Itália","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",1
