PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"65",0
1,"141",0
2,"230",0
3,"231",0
4,"232",0
5,"233",0
6,"229",0
