PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"14",0
1,"27",0
2,"28",0
