NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,NOME-DO-PREMIO-OU-TITULO-INGLES,PREMIOS-TITULOS_Id
"Professor homenageado dos formandos de 2006 do curso Ciências Econômicas","FACAMP","2007","",0
"Professor homenageado dos formandos de 2007 do curso Ciências Econômicas","FACAMP","2008","",0
"Prêmio do melhor artigo na área de finanças no XV SEMEAD.","SEMEAD / FEA-USP","2012","",0
"Paraninfo da Turma 2008 do curso de Ciências Econômicas da Universidade Estadual de Campinas","","2013","",0
"Prêmio do melhor artigo na sub-área "Gestão de Riscos, Crises e Derivativos" no XVI SEMEAD.","FEA/USP","2013","",0
"Paraninfo da Turma 2009 do curso de Ciências Econômicas da Universidade Estadual de Campinas","","2014","",0
"Paraninfo da Turma 2011 do curso de Ciências Econômicas da Universidade Estadual de Campinas","","2016","",0
"Professor homenageado da Turma 2012 do curso de Ciências Econômicas da Universidade Estadual de Campinas","","2017","",0
