BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"67",0
1,"68",0
2,"91",0
3,"114",0
4,"115",0
5,"137",0
6,"145",0
7,"159",0
