PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"43",0
1,"92",0
2,"93",0
3,"108",0
4,"135",0
5,"226",0
6,"227",0
7,"228",0
