TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Resenha BM&F, nº 159","","","","","","",0
"Informações Fipe, São Paulo, nº 244","","","","","","",1
"Informações Fipe, São Paulo, nº 248","","","","","","",2
